sys,msg,itr,dvfs,rapl,rnd_mean,joules_mean,time_mean,edp_mean,llcmiss_total_mean,cycles_total_mean,ins_total_mean,gov_mean,tput_mean,eput_mean,rnd_std,joules_std,time_std,edp_std,llcmiss_total_std,cycles_total_std,ins_total_std,gov_std,tput_std,eput_std
linux,64,28,0x1D00,135,4.5,7.932785867999999,0.275766322264249,1.0962951768331113,3204985518587.4,211324585044930.7,100072833267322.1,0.0,1163284.5756427362,8.087332827295906,3.0276503540974917,0.39678762679862073,0.01400959266796243,0.10681580496667986,2006511798194.0737,130455744117902.7,61405146448122.766,0.0,63120.93614193545,0.43487570735448505
linux,64,28,0xC00,135,4.5,5.259832059999999,0.2885619383661856,0.7588933931567874,5418422133399.2,365121469359335.3,195110186823632.4,0.0,1108947.7017192114,12.16781764911069,3.0276503540974917,0.01805424609668679,0.0001686433083385483,0.0025531202101915515,3248294896133.1333,218306132504965.44,116143234913007.75,0.0,648.013628668327,0.04168762037168723
linux,64,28,0xF00,135,4.5,5.625215974000001,0.28704334708391277,0.8073410795120765,5410090720474.8,364443758814824.8,194684420300765.9,0.0,1114816.26165269,11.377380058471653,3.0276503540974917,0.01098521802293356,0.0004118071344745331,0.002242258859772696,3266282343835.5996,219015675886893.25,116457386721858.62,0.0,1594.9455418357709,0.022256924586891068
linux,64,32,0x1000,135,4.5,6.449002658,0.323884216477316,1.044367201773105,6128367352979.9,411881714068101.3,219904814054020.8,0.0,988011.9193523461,9.924086712952954,3.0276503540974917,0.018252832741432346,0.0007313390729500179,0.0043821953558624786,3645201540869.874,244178473634754.62,129765985317799.75,0.0,2227.835453811553,0.0280986093204409
linux,64,32,0x1100,135,4.5,6.602351924,0.3233354487363616,1.0673873081709757,6109599030643.7,410760048699966.9,219325761614027.5,0.0,989684.2633724983,9.69355358443669,3.0276503540974917,0.013811590248138501,4.429333462385966e-05,0.00228859104189188,3646418690933.56,244235568820924.25,129793653832386.4,0.0,135.5825334295869,0.020285617164953033
linux,64,32,0x1200,135,4.5,6.769004858,0.3229982076200716,1.0931940700273586,6088483320250.8,409644658276874.3,218781264891564.0,0.0,990721.9467341189,9.454969113296592,3.027650354097492,0.02410518474998999,0.0007143394668666275,0.005925865427733247,3639846921987.589,243985985393819.06,129693480301165.5,0.0,2197.9082368067398,0.03373475734509492
linux,64,32,0x1500,135,4.5,7.141664739999999,0.3173347423568077,1.1331656341336254,5952622312573.8,401073384016230.1,214309113399476.6,0.0,1008409.3908363854,8.961751329244974,3.0276503540974917,0.0401005372096053,0.0010784975112970157,0.009819065069404258,3567780852537.947,239506332114535.8,127361143042485.84,0.0,3435.0685252501,0.05052543895594426
linux,64,32,0x1600,135,4.5,7.3105944659999995,0.31672019914489624,1.1577197350113624,5932725996676.7,399836422296404.4,213673606296712.9,0.0,1010366.0974367696,8.754557643798137,3.0276503540974917,0.030755538414209475,0.0010804337989167025,0.008566620532994609,3552455697588.928,238682140312298.84,126963159243960.11,0.0,3446.768438192073,0.03687387451017752
linux,64,32,0x1700,135,4.5,7.518808009999999,0.3164442969463093,1.1896418665073232,5917727964487.6,398811346441609.8,213133360925951.1,0.0,1011238.1681805009,8.512064646456164,3.0276503540974917,0.023870521086469438,0.0004381920966353904,0.004089153151021512,3540051397197.754,238016685356896.78,126637126756716.45,0.0,1397.5990723511657,0.026990371877141515
linux,64,32,0x1800,135,4.5,7.6252968679999995,0.3138618247454568,1.1966648357267093,3653936993612.7,241212257554031.4,114297621516386.2,0.0,1019572.7843777556,8.39333587502929,3.0276503540974917,0.04114705298303759,0.0013050524632270862,0.010944360792690434,2232690893982.2437,144672273622782.62,68006113640804.27,0.0,4235.352775931143,0.04530580302228568
linux,64,32,0x1900,135,4.5,7.809901666,0.31286098608999524,1.2217153493257638,3632740149018.1,240001144312597.1,113747090179241.1,0.0,1022826.5337533025,8.194853748737108,3.0276503540974917,0.0325908195082996,0.0009249122287301836,0.007893121930430368,2222323925565.6704,144176150241794.34,67800879116494.086,0.0,3024.8643750199735,0.034159401761926333
linux,64,32,0x1A00,135,4.5,8.061328478,0.313441699910931,1.2633885362234625,3626574160151.6,239748889016540.9,113652167452220.2,0.0,1020929.737780467,7.93928217982395,3.0276503540974917,0.036204203438668474,0.0008157166353209826,0.008476935479935136,2217634495853.712,143994751312014.0,67732736588539.04,0.0,2659.561913267173,0.035647642733614704
