ITR MSG DVFS RAPL TPUT LAT PK0_JOULE PK1_JOULE START_RDTSC END_RDTSC
0 64 0x1100 115 32.220864 0.173596 2.606659 3.210709 682639135121718 682639574316636
0 64 0x1100 105 31.961447 0.174064 2.61644 3.229202 682779176126333 682779618921012
0 64 0x1100 95 32.258928 0.17261 2.611191 3.214294 682919222885496 682919661496694
0 64 0x1100 85 31.99745 0.174553 2.637878 3.260559 683069654536317 683070096835792
0 64 0x1100 75 32.101169 0.173456 2.620651 3.22966 683209069020128 683209509817737
0 64 0x1100 65 32.367165 0.172599 2.5737 3.189117 683348408216895 683348845368150
0 64 0x1100 55 31.863386 0.174702 2.647202 3.251923 683458843120904 683459287214030
0 64 0x1100 45 32.066588 0.173837 2.622513 3.228119 683598811563825 683599252843950
0 8192 0x1100 135 2020.385435 0.330579 5.300751 6.648224 682390454431777 682391351158636
0 8192 0x1100 125 2023.1188 0.330737 5.317444 6.625793 682529805311257 682530700809378
0 8192 0x1100 115 2018.355405 0.331345 5.33194 6.627106 682669208161327 682670105792061
0 8192 0x1100 105 2029.985465 0.329648 5.314987 6.607498 682809165030134 682810057513219
0 8192 0x1100 95 2022.14966 0.33087 5.2948 6.628815 682960254979159 682961150918880
0 8192 0x1100 85 2022.502251 0.330683 5.294403 6.632278 683099643409144 683100539201422
0 8192 0x1100 75 2032.421804 0.329355 5.251251 6.609619 683239060935546 683239952283672
0 8192 0x1100 65 2032.626673 0.329378 5.265472 6.585938 683378391340956 683379282666267
0 8192 0x1100 55 2029.102399 0.329267 5.273422 6.604187 683488968184664 683489861048078
0 8192 0x1100 45 2031.681471 0.329243 5.276459 6.584427 683628794437860 683629686311264
0 65536 0x1100 135 4834.280564 1.055194 17.725525 22.425262 682420913673464 682423912083896
0 65536 0x1100 125 4845.078466 1.053769 17.681213 22.384735 682560240882126 682563232837856
0 65536 0x1100 115 4819.15241 1.059253 17.809555 22.4673 682699650026490 682702657761037
0 65536 0x1100 105 4808.604141 1.06106 17.827682 22.544418 682839615232148 682842629823484
0 65536 0x1100 95 4824.503851 1.058491 17.709442 22.490707 682990702618640 682993707035950
0 65536 0x1100 85 4832.85569 1.055776 17.775543 22.438004 683130076637554 683133075861888
0 65536 0x1100 75 4883.384748 1.045991 17.549973 22.245651 683269508972566 683272476739927
0 65536 0x1100 65 4853.365844 1.039544 17.719147 22.371201 683379918753110 683382905433116
0 65536 0x1100 55 4815.591374 1.059961 17.789169 22.494141 683519850680102 683522860942834
0 65536 0x1100 45 4815.266296 1.059974 17.828781 22.472107 683665175701550 683668185849524
0 524288 0x1100 135 6895.14792 5.822602 99.602051 126.932877 682453453445116 682470273308322
0 524288 0x1100 125 6898.66531 5.819646 99.567444 126.836685 682592792115297 682609601073820
0 524288 0x1100 115 6879.871454 5.836239 99.950409 127.264297 682732751081564 682749607174840
0 524288 0x1100 105 6877.672432 5.837748 99.710022 127.313858 682872790427834 682889652922303
0 524288 0x1100 95 6894.050852 5.823795 99.617905 127.022003 683023271101477 683040093934134
0 524288 0x1100 85 6889.00012 5.828045 99.547562 127.076401 683162662627890 683179497502092
0 524288 0x1100 75 6888.288201 5.828261 99.693481 127.18248 683302020781361 683318855829752
0 524288 0x1100 65 6896.45993 5.822067 99.609558 126.98085 683412466228012 683429282430340
0 524288 0x1100 55 6892.000453 5.82582 99.659363 127.013809 683552430454414 683569258754788
0 524288 0x1100 45 6897.970677 5.820409 99.403076 126.886154 683697744109408 683714557191404
0 64 0x1200 135 32.594441 0.170231 2.596481 3.258347 680983171530116 680983605602582
0 64 0x1200 125 32.706198 0.170009 2.558823 3.259048 681125361455529 681125794002813
0 64 0x1200 115 32.352797 0.171704 2.585434 3.300507 681269998845581 681270436158478
0 64 0x1200 105 33.156166 0.167999 2.52594 3.220856 681409215959145 681409642731989
0 64 0x1200 95 32.704475 0.17029 2.537155 3.258682 681548381226737 681548813950528
0 64 0x1200 85 32.485815 0.171045 2.565659 3.280975 681687502918693 681687938411762
0 64 0x1200 75 32.724437 0.170093 2.571503 3.238571 681826607118354 681827039502113
0 64 0x1200 65 32.353206 0.17194 2.579987 3.28038 681965772372169 681966209682589
0 64 0x1200 55 32.234252 0.172554 2.602127 3.300583 682110859210890 682111298207937
0 64 0x1200 45 31.949281 0.174124 2.613037 3.35083 682221096979864 682221539859541
